"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";"1904500";"1";"Competitivo";"195768";"2494226,4";"18";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"1"
"1,3121289";"24839,8";"101";"Não competitivo";"1352";"24839,8";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"125"
"1,3121289";"940000";"18";"Competitivo";"78930";"940000";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"20"
"1,3121289";"4600";"90";"Não competitivo";"11732";"21758,81";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"52"
"1,3121289";"35000";"86";"Não competitivo";"515";"35250";"22";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"CE";"172"
"1,3121289";"20000";"64";"Não competitivo";"3491";"22467,5";"10";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PI";"37"
"1,3121289";"90743,4";"58";"Não competitivo";"6399";"95743,4";"22";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"CE";"66"
"1,3121289";"1722,4";"119";"Não competitivo";"64";"1722,4";"10";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PI";"122"
"1,3121289";;"156";"Não competitivo";"236";"3100";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"249"
"1,3121289";"446955,61";"19";"Não competitivo";"319";"453383,55";"10";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"PI";"107"
"1,3121289";"3500";"38";"Não competitivo";"7851";"75621,58";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"RN";"34"
